Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
Natural,Hydrological,Flood,Riverine flood,CMR,Cameroon,Sub-Saharan Africa,Africa,"Douala, Bonaberi areas (Wouril district, Littoral province)",3700.0,Km2,7.369722,12.354722,2000,8.0,3.0,2000,8.0,5.0,3.0
Natural,Hydrological,Flood,Riverine flood,RUS,Russian Federation,Eastern Europe,Europe,"Primorskiy Kray, Khabarovskiy Kray, Sakhalinskaya Oblast provinces",192100.0,Km2,61.52401,105.318756,2000,7.0,30.0,2000,8.0,6.0,2.0
Natural,Geophysical,Earthquake,Ground movement,RUS,Russian Federation,Eastern Europe,Europe,Ougklegorsk region (Sakhalinskaya Oblast Province),6.8,Moment Magnitude,48.786,142.246,2000,8.0,4.0,2000,8.0,4.0,
Natural,Meteorological,Extreme temperature,Cold wave,PRY,Paraguay,Latin America and the Caribbean,Americas,"Alto Paraguay, Alto Parana, Amambay, Boqueron, Caaguazu, Caazapa, Canindeyu, Central, Concepcion, Cordillera, Guaira, Itapua, Misiones, Neembucu, Paraguari, Presidente Hayes, San Pedro provinces",-5.0,°C,-23.442503,-58.443832,2000,7.0,,2000,7.0,,8.0
Natural,Meteorological,Extreme temperature,Heat wave,MAR,Morocco,Northern Africa,Africa,"Settat district (Chaouia-Ouardigha province), Casablanca district (Grand Casablanca province), Gharb-Chrarda-Beni Hssen province",51.0,°C,31.791702,-7.09262,2000,8.0,,2000,8.0,,
Natural,Hydrological,Flood,Riverine flood,ETH,Ethiopia,Sub-Saharan Africa,Africa,"Dubti area (Zone 1 district, Afar province)",57500.0,Km2,9.145,40.489673,2000,8.0,10.0,2000,8.0,21.0,9.0
Natural,Hydrological,Flood,Flash flood,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Maneh Va Samalqan area (Bojnord district, Khorasan province)",16200.0,Km2,32.427908,53.688046,2000,8.0,8.0,2000,8.0,9.0,8.0
Natural,Hydrological,Flood,Flood (General),NER,Niger,Sub-Saharan Africa,Africa,"Dosso, Maradi provinces",18.0,Km2,17.607789,8.081666,2000,7.0,,2000,7.0,,2.0
Natural,Climatological,Wildfire,Forest fire,RUS,Russian Federation,Eastern Europe,Europe,Khabarovskiy Kray province,120.0,Km2,61.52401,105.318756,2000,6.0,,2000,6.0,,
Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Wuding Xian area (Chuxiong Yi district, Yunnan Sheng province)",4.9,Moment Magnitude,25.826,102.194,2000,8.0,21.0,2000,8.0,21.0,1.0
